ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
189.125.18.5,5.18.125.189.static.impsat.net.br.,3549,LVLT-3549,BR,Mandirituba,,,false,0.78,2021-02-11T21:08:26Z,2020-07-31T13:19:05Z
54.94.175.250,ec2-54-94-175-250.sa-east-1.compute.amazonaws.com.,16509,AMAZON-02,BR,São Paulo,dnsmasq-2.68,,false,1.00,2020-12-14T01:28:53Z,2020-08-11T01:23:12Z
177.15.67.65,,53237,TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS,BR,Niquelandia,dnsmasq-2.62,,false,1.00,2020-09-15T12:50:11Z,2020-09-02T08:53:33Z
177.43.35.247,177.43.35.247.static.gvt.net.br.,18881,TELEFONICA BRASIL S.A,BR,Florianópolis,dnsmasq-2.78,,false,0.70,2021-02-08T09:08:47Z,2020-09-02T08:53:40Z
177.52.232.7,,52839,RSS SOCIEDADE CIVIL LTDA,BR,São Paulo,Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2020-09-21T22:51:02Z,2020-09-02T08:54:06Z
177.66.203.10,ns1.downup.net.br.,53004,Downup Telecomunicacoes e servico LTDA,BR,Catu,9.10.3-P4-Debian,,true,1.00,2020-09-06T15:00:16Z,2020-09-02T08:54:09Z
177.92.0.90,90.0.92.177.static.copel.net.,14868,COPEL Telecomunicacoes S.A.,BR,Cerro Azul,[secured],,false,0.96,2020-09-06T15:00:24Z,2020-09-02T08:54:22Z
177.135.204.163,cmlitoral.static.gvt.net.br.,18881,TELEFONICA BRASIL S.A,BR,Salvador,,,false,1.00,2020-09-08T13:00:24Z,2020-09-02T08:54:25Z
177.159.232.52,cooperativa.static.gvt.net.br.,18881,TELEFONICA BRASIL S.A,BR,Campina Grande,dnsmasq-2.47,,false,0.65,2021-02-12T11:11:39Z,2020-09-02T08:54:35Z
177.159.232.53,cooperativa.static.gvt.net.br.,18881,TELEFONICA BRASIL S.A,BR,Campina Grande,dnsmasq-2.47,,false,1.00,2020-09-06T15:00:30Z,2020-09-02T08:54:37Z
177.184.131.54,,28368,SOBRALNET SERVICOS E TELECOMUNICACOES LTDA - ME,BR,Fortaleza,,,false,0.98,2020-09-08T13:00:23Z,2020-09-02T08:54:39Z
177.184.131.180,,28368,SOBRALNET SERVICOS E TELECOMUNICACOES LTDA - ME,BR,Fortaleza,9.8.1-P1,,false,1.00,2020-09-06T15:00:37Z,2020-09-02T08:54:42Z
186.194.224.82,186.194.224.82.cabonnet.com.br.,53143,R&R PROVEDOR DE INTERNET LTDA,BR,Presidente Prudente,,,false,0.81,2021-02-08T07:12:03Z,2020-09-02T08:54:55Z
186.215.128.142,,18881,TELEFONICA BRASIL S.A,BR,Porto Alegre,,,false,1.00,2020-09-06T15:00:19Z,2020-09-02T08:54:57Z
186.225.194.29,,53174,Pannet Servicos On Line Ltda,BR,Encantado,,,false,0.95,2020-09-06T15:00:15Z,2020-09-02T08:55:08Z
187.1.175.81,,28252,WorldNet Telecom Comercio e Servicos de Telecomuni,BR,Recife,,,false,1.00,2020-09-06T15:00:13Z,2020-09-02T08:55:11Z
187.6.84.178,mxbr01.sbadv.com.br.,8167,Brasil Telecom S/A - Filial Distrito Federal,BR,Corumbá,Microsoft DNS 6.1.7601 (1DB15CD4),,false,1.00,2020-09-08T13:00:20Z,2020-09-02T08:55:16Z
187.32.81.223,187-032-081-223.static.ctbctelecom.com.br.,16735,ALGAR TELECOM S/A,BR,Alvorada,Microsoft DNS 6.0.6003 (1773501D),,false,0.89,2020-09-06T15:00:14Z,2020-09-02T08:55:30Z
187.44.1.140,187-44-1-140.mcl-fb.mastercabo.com.br.,28202,Rede Brasileira de Comunicacao Ltda,BR,Claro dos Pocoes,,,false,1.00,2020-09-06T15:00:20Z,2020-09-02T08:55:32Z
